,time,condition,temp
0,18:30,Partly Cloudy,31
0,19:30,Mostly Cloudy,30
0,20:30,Mostly Cloudy,29
1,21:30,Mostly Cloudy,27
2,22:30,Mostly Cloudy,27
3,01:30,Scattered T-Storms,26
4,02:30,Scattered T-Storms,26
5,03:30,T-Storms,26
6,04:30,T-Storms,26
7,05:30,T-Storms,26
8,06:30,Mostly Cloudy,25
9,07:30,Mostly Cloudy,26
10,08:30,Mostly Cloudy,26
11,09:30,Mostly Cloudy,28
12,10:30,Mostly Cloudy,29
13,11:30,Mostly Cloudy,29
14,12:30,Mostly Cloudy,30
15,13:30,Mostly Cloudy,30
16,14:30,Mostly Cloudy,30
17,15:30,Mostly Cloudy,30
18,16:30,Mostly Cloudy,30
19,17:30,Mostly Cloudy,29
20,18:30,Scattered T-Storms,29
21,19:30,Scattered T-Storms,28
22,20:30,Scattered T-Storms,28
23,21:30,Scattered T-Storms,28
24,22:30,Scattered T-Storms,27
25,23:30,Scattered T-Storms,27
26,01:30,Mostly Cloudy,26
27,02:30,Mostly Cloudy,26
28,03:30,Mostly Cloudy,26
29,04:30,Mostly Cloudy,26
30,05:30,Mostly Cloudy,26
31,06:30,Mostly Cloudy,25
32,07:30,Partly Cloudy,25
33,08:30,Partly Cloudy,26
34,09:30,Mostly Cloudy,28
35,10:30,Mostly Cloudy,29
36,11:30,Partly Cloudy,30
37,12:30,Partly Cloudy,30
38,13:30,Partly Cloudy,31
39,14:30,Scattered T-Storms,31
40,15:30,Scattered T-Storms,31
41,16:30,Scattered T-Storms,30
42,17:30,Scattered T-Storms,30
